Date,AAPL.US Close,MSFT.US Close,ADBE.US Close,AMZN.US Close,PEP.US Close,AAPL.US High,MSFT.US High,ADBE.US High,AMZN.US High,PEP.US High,AAPL.US Low,MSFT.US Low,ADBE.US Low,AMZN.US Low,PEP.US Low,AAPL.US Open,MSFT.US Open,ADBE.US Open,AMZN.US Open,PEP.US Open,AAPL.US Volume,MSFT.US Volume,ADBE.US Volume,AMZN.US Volume,PEP.US Volume
2024-10-29,232.363,431.087,485.39,190.83,167.5,233.013,432.305,487.56,191.4599,169.2,231.02,424.95,479.33,187.815,166.97,231.795,427.145,481.92,188.58,169.2,35616572.0,17679397.094527,2089505.0,35690158.0,5127890.0
2024-10-30,228.812,431.666,486.68,192.73,166.21,232.163,437.624,492.2,195.61,167.6399,228.266,431.237,482.24,192.42,166.08,231.308,436.561,482.24,194.695,167.0,47335819.0,29808696.083629,2728573.0,37707550.0,4801541.0
2024-10-31,224.646,405.538,478.08,186.4,166.08,228.543,415.329,486.05,190.6,167.5048,224.108,405.488,477.38,185.23,165.81,228.056,414.53,486.0,190.51,166.1,64732356.0,54079011.469012,2978688.0,75146759.0,5582423.0
2024-11-01,221.662,409.55,482.8,197.93,165.59,224.089,414.67,485.16,200.5,166.25,219.037,406.686,475.05,197.02,165.21,219.728,408.193,475.41,198.86,166.09,65644114.0,24278942.619502,2852008.0,99687847.0,6339121.0
2024-11-04,220.767,407.644,481.35,195.78,166.34,221.543,409.595,483.76,197.33,166.65,218.481,404.761,477.37,194.3101,165.1852,219.753,408.971,479.03,196.45,165.59,45197412.0,19711662.832582,1955249.0,38492062.0,4885472.0
2024-11-05,222.2,410.638,486.42,199.5,167.85,222.696,414.071,486.659,199.82,167.96,219.902,407.265,480.47,195.99,165.67,220.553,407.554,483.09,196.04,165.95,28269546.0,17661291.926895,1588149.0,30564784.0,3678708.0
2024-11-06,221.473,419.341,504.83,207.09,164.71,224.801,419.61,506.21,207.55,167.41,219.952,409.7,492.93,199.14,163.6,221.364,411.596,492.93,200.01,167.37,54868187.0,26735249.439553,2969855.0,72292167.0,7849309.0
2024-11-07,226.207,424.58,500.92,210.05,164.0,226.6,425.997,510.655,212.25,164.9,223.314,419.041,495.3,207.19,163.47,223.367,420.438,510.655,207.44,164.5,42374838.0,19941618.200932,2640295.0,52878383.0,5333532.0
2024-11-08,225.938,421.696,494.68,208.18,165.11,227.63,425.648,505.0,209.9633,165.82,225.386,420.937,493.69,207.44,163.645,226.148,424.47,503.83,209.72,163.84,38502175.0,16925224.52823,2856859.0,36075846.0,4618265.0
2024-11-11,223.221,417.175,504.48,206.84,164.26,224.684,423.961,507.72,209.65,166.15,220.503,415.169,493.6,205.59,163.98,223.988,421.671,493.6,208.5,164.41,42195582.0,24552367.824996,3536599.0,35456012.0,3761969.0
2024-11-12,223.221,422.185,526.42,208.91,164.34,224.574,423.592,528.91,209.54,165.0,222.349,416.367,504.27,206.01,163.15,223.538,417.414,504.39,208.37,164.09,40581010.0,19440038.224034,4125288.0,38942918.0,5386925.0
2024-11-13,224.107,424.351,532.5,214.1,164.74,225.629,428.467,539.92,215.09,164.8,221.757,417.375,520.59,209.14,162.37,223.002,420.798,523.79,209.4,163.49,48785869.0,21545224.631433,3470174.0,46212943.0,4145443.0
2024-11-14,227.192,426.037,529.87,211.48,165.15,227.84,427.315,534.6399,215.9,166.885,223.988,419.161,523.46,210.88,163.83,224.008,424.151,530.55,214.16,164.74,45127121.0,30307424.36386,3098800.0,42620309.0,5422685.0
2024-11-15,223.988,414.171,503.37,202.61,158.62,225.898,421.955,524.4999,207.34,164.38,223.261,412.814,498.81,199.61,158.05,225.381,418.981,520.3,206.76,164.38,48140443.0,28304185.611311,4612417.0,86591144.0,9108948.0
2024-11-18,226.994,414.929,499.51,201.7,158.33,228.705,417.568,505.51,204.67,159.85,224.156,411.277,497.69,200.95,157.76,224.236,414.041,505.0,204.15,159.405,44888123.0,24791537.600427,2259651.0,36512465.0,6992040.0
2024-11-19,227.252,416.955,499.61,204.61,156.72,229.124,417.105,502.41,205.3,157.87,225.639,410.728,495.46,198.78,155.85,225.958,412.285,496.0,199.33,157.75,36375550.0,18169825.795174,1961731.0,31197867.0,8248864.0
2024-11-20,227.968,414.66,499.5,202.88,158.74,228.894,416.456,506.36,203.13,159.11,224.873,409.76,494.61,199.45,156.2,227.034,416.037,505.41,202.98,156.45,35328629.0,19230069.782395,1874910.0,32768989.0,5067255.0
2024-11-21,227.491,412.87,504.44,198.38,160.34,229.119,419.78,508.57,203.49,160.5,224.694,410.2887,493.1,195.75,157.95,227.85,419.5,502.1,203.49,158.39,42298772.0,20780162.0,2002094.0,58800042.0,5976987.0
2024-11-22,228.835,417.0,512.15,197.12,162.0,229.681,417.4,513.37,199.2599,162.06,227.034,411.06,502.5,196.75,159.89,227.034,411.365,502.5,198.25,160.9,38340877.0,24814626.0,2287614.0,31530844.0,5846256.0
2024-11-25,231.821,418.79,518.73,201.45,163.05,232.195,421.08,523.2099,201.9499,163.59,228.705,414.85,513.1935,199.0,162.0,230.418,418.38,519.09,199.28,162.7,90560571.0,27691090.0,3319992.0,40685672.0,8580393.0
2024-11-26,234.001,427.99,525.3,207.86,162.16,234.51,429.0414,525.76,208.0,163.68,232.28,418.85,516.3601,201.79,161.9,232.28,419.585,519.95,201.9,163.27,46194172.0,23458889.0,2415735.0,41673737.0,4653842.0
2024-11-27,233.872,422.99,513.68,205.74,162.72,234.629,427.2299,525.88,207.64,165.13,232.757,422.02,508.7161,205.05,161.68,233.409,425.105,523.21,206.98,161.94,33649943.0,18332444.0,2324217.0,28061638.0,3622893.0
2024-11-29,236.262,423.46,515.93,207.89,163.45,236.74,424.8849,517.65,208.2,163.585,232.916,417.8,513.58,204.59,160.95,233.747,420.09,517.65,205.83,161.43,28610190.0,16271921.0,1450247.0,24892447.0,2799312.0
2024-12-02,238.512,430.98,516.2,210.71,163.05,239.707,433.0,518.77,212.99,163.65,236.093,421.31,511.53,209.5101,161.76,236.202,421.57,512.85,209.96,163.315,48354814.0,20207223.0,2007213.0,39523185.0,4967612.0
2024-12-03,241.559,431.2,516.26,213.44,161.7,241.666,432.47,516.78,214.02,163.05,237.824,427.74,504.505,209.65,161.42,238.731,429.84,511.04,210.31,162.84,39036775.0,18301987.0,2119254.0,32214828.0,4277392.0
